staff_member,week_commencing,week_number,programme_category,activity_value
Legacy Data,06/05/2024,19,Archived programme,67.29032258
Legacy Data,13/05/2024,20,Archived programme,67.29032258
Legacy Data,20/05/2024,21,Archived programme,67.29032258
Legacy Data,27/05/2024,22,Archived programme,72.59784946
Legacy Data,03/06/2024,23,Archived programme,85.86666667
Legacy Data,10/06/2024,24,Archived programme,85.86666667
Legacy Data,17/06/2024,25,Archived programme,85.86666667
Legacy Data,24/06/2024,26,Archived programme,85.86666667
Legacy Data,01/07/2024,27,Archived programme,81.74193548
Legacy Data,08/07/2024,28,Archived programme,81.74193548
Legacy Data,15/07/2024,29,Archived programme,81.74193548
Legacy Data,22/07/2024,30,Archived programme,81.74193548
Legacy Data,29/07/2024,31,Archived programme,63.29032258
Legacy Data,05/08/2024,32,Archived programme,49.4516129
Legacy Data,12/08/2024,33,Archived programme,49.4516129
Legacy Data,19/08/2024,34,Archived programme,49.4516129
Legacy Data,26/08/2024,35,Archived programme,51.30043011
Legacy Data,02/09/2024,36,Archived programme,62.39333333
Legacy Data,09/09/2024,37,Archived programme,62.39333333
Legacy Data,16/09/2024,38,Archived programme,62.39333333
Legacy Data,23/09/2024,39,Archived programme,62.39333333
Legacy Data,30/09/2024,40,Archived programme,65.31333333
Legacy Data,07/10/2024,41,Archived programme,65.8
Legacy Data,14/10/2024,42,Archived programme,65.8
Legacy Data,21/10/2024,43,Archived programme,65.8
Legacy Data,28/10/2024,44,Archived programme,64.34
Legacy Data,04/11/2024,45,Archived programme,62.39333333
Legacy Data,11/11/2024,46,Archived programme,62.39333333
Legacy Data,18/11/2024,47,Archived programme,62.39333333
Legacy Data,25/11/2024,48,Archived programme,61.71870968
Legacy Data,02/12/2024,49,Archived programme,57.67096774
Legacy Data,09/12/2024,50,Archived programme,57.67096774
Legacy Data,16/12/2024,51,Archived programme,57.67096774
Legacy Data,23/12/2024,52,Archived programme,57.67096774
Legacy Data,30/12/2024,1,Archived programme,61.54193548
Legacy Data,06/01/2025,2,Archived programme,63.09032258
Legacy Data,13/01/2025,3,Archived programme,63.09032258
Legacy Data,20/01/2025,4,Archived programme,63.09032258
Legacy Data,27/01/2025,5,Archived programme,63.30737327
Legacy Data,03/02/2025,6,Archived programme,63.85
Legacy Data,10/02/2025,7,Archived programme,63.85
Legacy Data,17/02/2025,8,Archived programme,63.85
Legacy Data,24/02/2025,9,Archived programme,45.60714286
Legacy Data,03/03/2025,10,Archived programme,0
Legacy Data,10/03/2025,11,Archived programme,0
Legacy Data,17/03/2025,12,Archived programme,0
Legacy Data,24/03/2025,13,Archived programme,0
Legacy Data,31/03/2025,14,Archived programme,0
Legacy Data,07/04/2025,15,Archived programme,0
Legacy Data,14/04/2025,16,Archived programme,0
Legacy Data,21/04/2025,17,Archived programme,0
Legacy Data,28/04/2025,18,Archived programme,0
Legacy Data,05/05/2025,19,Archived programme,0
Legacy Data,12/05/2025,20,Archived programme,0
Legacy Data,19/05/2025,21,Archived programme,0
Legacy Data,26/05/2025,22,Archived programme,0
Legacy Data,02/06/2025,23,Archived programme,0
Legacy Data,09/06/2025,24,Archived programme,0
Legacy Data,16/06/2025,25,Archived programme,0
Legacy Data,23/06/2025,26,Archived programme,0
Legacy Data,30/06/2025,27,Archived programme,0
Legacy Data,07/07/2025,28,Archived programme,0
Legacy Data,14/07/2025,29,Archived programme,0
Legacy Data,21/07/2025,30,Archived programme,0
Legacy Data,28/07/2025,31,Archived programme,0
Legacy Data,04/08/2025,32,Archived programme,0
Legacy Data,11/08/2025,33,Archived programme,0
Legacy Data,18/08/2025,34,Archived programme,0
Legacy Data,25/08/2025,35,Archived programme,0
Legacy Data,01/09/2025,36,Archived programme,0
Legacy Data,08/09/2025,37,Archived programme,0
Legacy Data,15/09/2025,38,Archived programme,0
Legacy Data,22/09/2025,39,Archived programme,0
Legacy Data,29/09/2025,40,Archived programme,0
Legacy Data,06/10/2025,41,Archived programme,0
Legacy Data,13/10/2025,42,Archived programme,0
Legacy Data,20/10/2025,43,Archived programme,0
Legacy Data,27/10/2025,44,Archived programme,0
Legacy Data,03/11/2025,45,Archived programme,0
Legacy Data,10/11/2025,46,Archived programme,0
Legacy Data,17/11/2025,47,Archived programme,0
Legacy Data,24/11/2025,48,Archived programme,0
Legacy Data,01/12/2025,49,Archived programme,0
Legacy Data,08/12/2025,50,Archived programme,0
Legacy Data,15/12/2025,51,Archived programme,0
Legacy Data,22/12/2025,52,Archived programme,0
Legacy Data,29/12/2025,1,Archived programme,0
Legacy Data,01/01/2024,1,Community CAMHS,0
Legacy Data,08/01/2024,2,Community CAMHS,0
Legacy Data,15/01/2024,3,Community CAMHS,0
Legacy Data,22/01/2024,4,Community CAMHS,0
Legacy Data,29/01/2024,5,Community CAMHS,0
Legacy Data,05/02/2024,6,Community CAMHS,0
Legacy Data,12/02/2024,7,Community CAMHS,0
Legacy Data,19/02/2024,8,Community CAMHS,0
Legacy Data,26/02/2024,9,Community CAMHS,0
Legacy Data,04/03/2024,10,Community CAMHS,0
Legacy Data,11/03/2024,11,Community CAMHS,0
Legacy Data,18/03/2024,12,Community CAMHS,0
Legacy Data,25/03/2024,13,Community CAMHS,0
Legacy Data,01/04/2024,14,Community CAMHS,0
Legacy Data,08/04/2024,15,Community CAMHS,0
Legacy Data,15/04/2024,16,Community CAMHS,0
Legacy Data,22/04/2024,17,Community CAMHS,0
Legacy Data,29/04/2024,18,Community CAMHS,0
Legacy Data,06/05/2024,19,Community CAMHS,0
Legacy Data,13/05/2024,20,Community CAMHS,0
Legacy Data,20/05/2024,21,Community CAMHS,0
Legacy Data,27/05/2024,22,Community CAMHS,0
Legacy Data,03/06/2024,23,Community CAMHS,0
Legacy Data,10/06/2024,24,Community CAMHS,0
Legacy Data,17/06/2024,25,Community CAMHS,0
Legacy Data,24/06/2024,26,Community CAMHS,0
Legacy Data,01/07/2024,27,Community CAMHS,0
Legacy Data,08/07/2024,28,Community CAMHS,0
Legacy Data,15/07/2024,29,Community CAMHS,0
Legacy Data,22/07/2024,30,Community CAMHS,0
Legacy Data,29/07/2024,31,Community CAMHS,0
Legacy Data,05/08/2024,32,Community CAMHS,0
Legacy Data,12/08/2024,33,Community CAMHS,0
Legacy Data,19/08/2024,34,Community CAMHS,0
Legacy Data,26/08/2024,35,Community CAMHS,0
Legacy Data,02/09/2024,36,Community CAMHS,0
Legacy Data,09/09/2024,37,Community CAMHS,0
Legacy Data,16/09/2024,38,Community CAMHS,0
Legacy Data,23/09/2024,39,Community CAMHS,0
Legacy Data,30/09/2024,40,Community CAMHS,0
Legacy Data,07/10/2024,41,Community CAMHS,0
Legacy Data,14/10/2024,42,Community CAMHS,0
Legacy Data,21/10/2024,43,Community CAMHS,0
Legacy Data,28/10/2024,44,Community CAMHS,0
Legacy Data,04/11/2024,45,Community CAMHS,0
Legacy Data,11/11/2024,46,Community CAMHS,0
Legacy Data,18/11/2024,47,Community CAMHS,0
Legacy Data,25/11/2024,48,Community CAMHS,0
Legacy Data,02/12/2024,49,Community CAMHS,0
Legacy Data,09/12/2024,50,Community CAMHS,0
Legacy Data,16/12/2024,51,Community CAMHS,0
Legacy Data,23/12/2024,52,Community CAMHS,0
Legacy Data,30/12/2024,1,Community CAMHS,0
Legacy Data,06/01/2025,2,Community CAMHS,0
Legacy Data,13/01/2025,3,Community CAMHS,0
Legacy Data,20/01/2025,4,Community CAMHS,0
Legacy Data,27/01/2025,5,Community CAMHS,0
Legacy Data,03/02/2025,6,Community CAMHS,0
Legacy Data,10/02/2025,7,Community CAMHS,0
Legacy Data,17/02/2025,8,Community CAMHS,0
Legacy Data,24/02/2025,9,Community CAMHS,0
Legacy Data,03/03/2025,10,Community CAMHS,0
Legacy Data,10/03/2025,11,Community CAMHS,0
Legacy Data,17/03/2025,12,Community CAMHS,0
Legacy Data,24/03/2025,13,Community CAMHS,0
Legacy Data,31/03/2025,14,Community CAMHS,0
Legacy Data,07/04/2025,15,Community CAMHS,0
Legacy Data,14/04/2025,16,Community CAMHS,0
Legacy Data,21/04/2025,17,Community CAMHS,0
Legacy Data,28/04/2025,18,Community CAMHS,0
Legacy Data,05/05/2025,19,Community CAMHS,0
Legacy Data,12/05/2025,20,Community CAMHS,0
Legacy Data,19/05/2025,21,Community CAMHS,0
Legacy Data,26/05/2025,22,Community CAMHS,0
Legacy Data,02/06/2025,23,Community CAMHS,0
Legacy Data,09/06/2025,24,Community CAMHS,0
Legacy Data,16/06/2025,25,Community CAMHS,0
Legacy Data,23/06/2025,26,Community CAMHS,0
Legacy Data,30/06/2025,27,Community CAMHS,0
Legacy Data,07/07/2025,28,Community CAMHS,0
Legacy Data,14/07/2025,29,Community CAMHS,0
Legacy Data,21/07/2025,30,Community CAMHS,0
Legacy Data,28/07/2025,31,Community CAMHS,0
Legacy Data,04/08/2025,32,Community CAMHS,0
Legacy Data,11/08/2025,33,Community CAMHS,0
Legacy Data,18/08/2025,34,Community CAMHS,0
Legacy Data,25/08/2025,35,Community CAMHS,0
Legacy Data,01/09/2025,36,Community CAMHS,0
Legacy Data,08/09/2025,37,Community CAMHS,0
Legacy Data,15/09/2025,38,Community CAMHS,0
Legacy Data,22/09/2025,39,Community CAMHS,0
Legacy Data,29/09/2025,40,Community CAMHS,0
Legacy Data,06/10/2025,41,Community CAMHS,0
Legacy Data,13/10/2025,42,Community CAMHS,0
Legacy Data,20/10/2025,43,Community CAMHS,0
Legacy Data,27/10/2025,44,Community CAMHS,4.5
Legacy Data,03/11/2025,45,Community CAMHS,15.75
Legacy Data,10/11/2025,46,Community CAMHS,15.75
Legacy Data,17/11/2025,47,Community CAMHS,15.75
Legacy Data,24/11/2025,48,Community CAMHS,15.75
Legacy Data,01/12/2025,49,Community CAMHS,15.24193548
Legacy Data,08/12/2025,50,Community CAMHS,15.24193548
Legacy Data,15/12/2025,51,Community CAMHS,15.24193548
Legacy Data,22/12/2025,52,Community CAMHS,15.24193548
Legacy Data,29/12/2025,1,Community CAMHS,6.532258065
Legacy Data,01/01/2024,1,Core Fidelity and CRHT Work,0
Legacy Data,08/01/2024,2,Core Fidelity and CRHT Work,0
Legacy Data,15/01/2024,3,Core Fidelity and CRHT Work,0
Legacy Data,22/01/2024,4,Core Fidelity and CRHT Work,0
Legacy Data,29/01/2024,5,Core Fidelity and CRHT Work,0
Legacy Data,05/02/2024,6,Core Fidelity and CRHT Work,0
Legacy Data,12/02/2024,7,Core Fidelity and CRHT Work,0
Legacy Data,19/02/2024,8,Core Fidelity and CRHT Work,0
Legacy Data,26/02/2024,9,Core Fidelity and CRHT Work,0
Legacy Data,04/03/2024,10,Core Fidelity and CRHT Work,0
Legacy Data,11/03/2024,11,Core Fidelity and CRHT Work,0
Legacy Data,18/03/2024,12,Core Fidelity and CRHT Work,0
Legacy Data,25/03/2024,13,Core Fidelity and CRHT Work,0
Legacy Data,01/04/2024,14,Core Fidelity and CRHT Work,0
Legacy Data,08/04/2024,15,Core Fidelity and CRHT Work,0
Legacy Data,15/04/2024,16,Core Fidelity and CRHT Work,0
Legacy Data,22/04/2024,17,Core Fidelity and CRHT Work,0
Legacy Data,29/04/2024,18,Core Fidelity and CRHT Work,0
Legacy Data,06/05/2024,19,Core Fidelity and CRHT Work,0
Legacy Data,13/05/2024,20,Core Fidelity and CRHT Work,0
Legacy Data,20/05/2024,21,Core Fidelity and CRHT Work,0
Legacy Data,27/05/2024,22,Core Fidelity and CRHT Work,0
Legacy Data,03/06/2024,23,Core Fidelity and CRHT Work,0
Legacy Data,10/06/2024,24,Core Fidelity and CRHT Work,0
Legacy Data,17/06/2024,25,Core Fidelity and CRHT Work,0
Legacy Data,24/06/2024,26,Core Fidelity and CRHT Work,0
Legacy Data,01/07/2024,27,Core Fidelity and CRHT Work,0
Legacy Data,08/07/2024,28,Core Fidelity and CRHT Work,0
Legacy Data,15/07/2024,29,Core Fidelity and CRHT Work,0
Legacy Data,22/07/2024,30,Core Fidelity and CRHT Work,0
Legacy Data,29/07/2024,31,Core Fidelity and CRHT Work,0
Legacy Data,05/08/2024,32,Core Fidelity and CRHT Work,0
Legacy Data,12/08/2024,33,Core Fidelity and CRHT Work,0
Legacy Data,19/08/2024,34,Core Fidelity and CRHT Work,0
Legacy Data,26/08/2024,35,Core Fidelity and CRHT Work,0
Legacy Data,02/09/2024,36,Core Fidelity and CRHT Work,0
Legacy Data,09/09/2024,37,Core Fidelity and CRHT Work,0
Legacy Data,16/09/2024,38,Core Fidelity and CRHT Work,0
Legacy Data,23/09/2024,39,Core Fidelity and CRHT Work,0
Legacy Data,30/09/2024,40,Core Fidelity and CRHT Work,0
Legacy Data,07/10/2024,41,Core Fidelity and CRHT Work,0
Legacy Data,14/10/2024,42,Core Fidelity and CRHT Work,0
Legacy Data,21/10/2024,43,Core Fidelity and CRHT Work,0
Legacy Data,28/10/2024,44,Core Fidelity and CRHT Work,6
Legacy Data,04/11/2024,45,Core Fidelity and CRHT Work,14
Legacy Data,11/11/2024,46,Core Fidelity and CRHT Work,14
Legacy Data,18/11/2024,47,Core Fidelity and CRHT Work,14
Legacy Data,25/11/2024,48,Core Fidelity and CRHT Work,13.93548387
Legacy Data,02/12/2024,49,Core Fidelity and CRHT Work,13.5483871
Legacy Data,09/12/2024,50,Core Fidelity and CRHT Work,13.5483871
Legacy Data,16/12/2024,51,Core Fidelity and CRHT Work,13.5483871
Legacy Data,23/12/2024,52,Core Fidelity and CRHT Work,13.5483871
Legacy Data,30/12/2024,1,Core Fidelity and CRHT Work,23.22580645
Legacy Data,06/01/2025,2,Core Fidelity and CRHT Work,27.09677419
Legacy Data,13/01/2025,3,Core Fidelity and CRHT Work,27.09677419
Legacy Data,20/01/2025,4,Core Fidelity and CRHT Work,27.09677419
Legacy Data,27/01/2025,5,Core Fidelity and CRHT Work,19.35483871
Legacy Data,03/02/2025,6,Core Fidelity and CRHT Work,0
Legacy Data,10/02/2025,7,Core Fidelity and CRHT Work,0
Legacy Data,17/02/2025,8,Core Fidelity and CRHT Work,0
Legacy Data,24/02/2025,9,Core Fidelity and CRHT Work,0
Legacy Data,03/03/2025,10,Core Fidelity and CRHT Work,0
Legacy Data,10/03/2025,11,Core Fidelity and CRHT Work,0
Legacy Data,17/03/2025,12,Core Fidelity and CRHT Work,0
Legacy Data,24/03/2025,13,Core Fidelity and CRHT Work,0
Legacy Data,31/03/2025,14,Core Fidelity and CRHT Work,0
Legacy Data,07/04/2025,15,Core Fidelity and CRHT Work,0
Legacy Data,14/04/2025,16,Core Fidelity and CRHT Work,0
Legacy Data,21/04/2025,17,Core Fidelity and CRHT Work,0
Legacy Data,28/04/2025,18,Core Fidelity and CRHT Work,0
Legacy Data,05/05/2025,19,Core Fidelity and CRHT Work,0
Legacy Data,12/05/2025,20,Core Fidelity and CRHT Work,0
Legacy Data,19/05/2025,21,Core Fidelity and CRHT Work,0
Legacy Data,26/05/2025,22,Core Fidelity and CRHT Work,0
Legacy Data,02/06/2025,23,Core Fidelity and CRHT Work,0
Legacy Data,09/06/2025,24,Core Fidelity and CRHT Work,0
Legacy Data,16/06/2025,25,Core Fidelity and CRHT Work,0
Legacy Data,23/06/2025,26,Core Fidelity and CRHT Work,0
Legacy Data,30/06/2025,27,Core Fidelity and CRHT Work,0
Legacy Data,07/07/2025,28,Core Fidelity and CRHT Work,0
Legacy Data,14/07/2025,29,Core Fidelity and CRHT Work,0
Legacy Data,21/07/2025,30,Core Fidelity and CRHT Work,0
Legacy Data,28/07/2025,31,Core Fidelity and CRHT Work,0
Legacy Data,04/08/2025,32,Core Fidelity and CRHT Work,0
Legacy Data,11/08/2025,33,Core Fidelity and CRHT Work,0
Legacy Data,18/08/2025,34,Core Fidelity and CRHT Work,0
Legacy Data,25/08/2025,35,Core Fidelity and CRHT Work,0
Legacy Data,01/09/2025,36,Core Fidelity and CRHT Work,0
Legacy Data,08/09/2025,37,Core Fidelity and CRHT Work,0
Legacy Data,15/09/2025,38,Core Fidelity and CRHT Work,0
Legacy Data,22/09/2025,39,Core Fidelity and CRHT Work,0
Legacy Data,29/09/2025,40,Core Fidelity and CRHT Work,0
Legacy Data,06/10/2025,41,Core Fidelity and CRHT Work,0
Legacy Data,13/10/2025,42,Core Fidelity and CRHT Work,0
Legacy Data,20/10/2025,43,Core Fidelity and CRHT Work,0
Legacy Data,27/10/2025,44,Core Fidelity and CRHT Work,0
Legacy Data,03/11/2025,45,Core Fidelity and CRHT Work,0
Legacy Data,10/11/2025,46,Core Fidelity and CRHT Work,0
Legacy Data,17/11/2025,47,Core Fidelity and CRHT Work,0
Legacy Data,24/11/2025,48,Core Fidelity and CRHT Work,0
Legacy Data,01/12/2025,49,Core Fidelity and CRHT Work,13.5483871
Legacy Data,08/12/2025,50,Core Fidelity and CRHT Work,13.5483871
Legacy Data,15/12/2025,51,Core Fidelity and CRHT Work,13.5483871
Legacy Data,22/12/2025,52,Core Fidelity and CRHT Work,13.5483871
Legacy Data,29/12/2025,1,Core Fidelity and CRHT Work,5.806451613
Legacy Data,01/01/2024,1,Foundations for Better MH Services,28
Legacy Data,08/01/2024,2,Foundations for Better MH Services,28
Legacy Data,15/01/2024,3,Foundations for Better MH Services,28
Legacy Data,22/01/2024,4,Foundations for Better MH Services,28
Legacy Data,29/01/2024,5,Foundations for Better MH Services,26.34482759
Legacy Data,05/02/2024,6,Foundations for Better MH Services,25.10344828
Legacy Data,12/02/2024,7,Foundations for Better MH Services,25.10344828
Legacy Data,19/02/2024,8,Foundations for Better MH Services,25.10344828
Legacy Data,26/02/2024,9,Foundations for Better MH Services,24.21579533
Legacy Data,04/03/2024,10,Foundations for Better MH Services,23.03225806
Legacy Data,11/03/2024,11,Foundations for Better MH Services,23.03225806
Legacy Data,18/03/2024,12,Foundations for Better MH Services,23.03225806
Legacy Data,25/03/2024,13,Foundations for Better MH Services,23.03225806
Legacy Data,01/04/2024,14,Foundations for Better MH Services,23.33333333
Legacy Data,08/04/2024,15,Foundations for Better MH Services,23.33333333
Legacy Data,15/04/2024,16,Foundations for Better MH Services,23.33333333
Legacy Data,22/04/2024,17,Foundations for Better MH Services,23.33333333
Legacy Data,29/04/2024,18,Foundations for Better MH Services,22.47311828
Legacy Data,06/05/2024,19,Foundations for Better MH Services,22.12903226
Legacy Data,13/05/2024,20,Foundations for Better MH Services,22.12903226
Legacy Data,20/05/2024,21,Foundations for Better MH Services,22.12903226
Legacy Data,27/05/2024,22,Foundations for Better MH Services,22.33978495
Legacy Data,03/06/2024,23,Foundations for Better MH Services,22.86666667
Legacy Data,10/06/2024,24,Foundations for Better MH Services,22.86666667
Legacy Data,17/06/2024,25,Foundations for Better MH Services,22.86666667
Legacy Data,24/06/2024,26,Foundations for Better MH Services,22.86666667
Legacy Data,01/07/2024,27,Foundations for Better MH Services,26.64516129
Legacy Data,08/07/2024,28,Foundations for Better MH Services,26.64516129
Legacy Data,15/07/2024,29,Foundations for Better MH Services,26.64516129
Legacy Data,22/07/2024,30,Foundations for Better MH Services,26.64516129
Legacy Data,29/07/2024,31,Foundations for Better MH Services,24.06451613
Legacy Data,05/08/2024,32,Foundations for Better MH Services,22.12903226
Legacy Data,12/08/2024,33,Foundations for Better MH Services,22.12903226
Legacy Data,19/08/2024,34,Foundations for Better MH Services,22.12903226
Legacy Data,26/08/2024,35,Foundations for Better MH Services,25.6344086
Legacy Data,02/09/2024,36,Foundations for Better MH Services,46.66666667
Legacy Data,09/09/2024,37,Foundations for Better MH Services,46.66666667
Legacy Data,16/09/2024,38,Foundations for Better MH Services,46.66666667
Legacy Data,23/09/2024,39,Foundations for Better MH Services,46.66666667
Legacy Data,30/09/2024,40,Foundations for Better MH Services,51.95698925
Legacy Data,07/10/2024,41,Foundations for Better MH Services,52.83870968
Legacy Data,14/10/2024,42,Foundations for Better MH Services,52.83870968
Legacy Data,21/10/2024,43,Foundations for Better MH Services,52.83870968
Legacy Data,28/10/2024,44,Foundations for Better MH Services,52.09354839
Legacy Data,04/11/2024,45,Foundations for Better MH Services,51.1
Legacy Data,11/11/2024,46,Foundations for Better MH Services,51.1
Legacy Data,18/11/2024,47,Foundations for Better MH Services,51.1
Legacy Data,25/11/2024,48,Foundations for Better MH Services,48.92903226
Legacy Data,02/12/2024,49,Foundations for Better MH Services,35.90322581
